"chemical","error","Stat_Pt","Jobs","imag","HF","Gibbs_Gas","Gibbs_Water","Gibbs_Oct","Enthalpy_Gas","Enthalpy_Water","Enthalpy_Oct","Volume","Radius","Etherm","Cv","S","qp","qm","alpha_avg","quad_avg","log_Kow","kow_vol","kow_rad"
"poly_2_heptyl_acrylate_total_2M",NA,"Yes",9,0,"-1085.9766928",-1085.479192,-1085.486997,-1085.500586,-1085.383044,-1085.390757,-1085.40471,291.713,11.08,371.928,107.903,202.362,0.117171,-0.557146,221.267,-148.817266666667,6.24503078759923,0.0214081332940226,0.563630937508956
"poly_2_octyl_acrylate_total_2M",NA,"Yes",8,0,"-1164.6029424",-1164.052281,-1164.058848,-1164.074534,-1163.949251,-1163.956489,-1163.972482,326.143,11.46,409.605,117.442,216.845,0.121924,-0.585218,242.67,-161.199733333333,7.20873890164497,0.0221030005293536,0.629034808171463
"poly_butylene_succinate_total_2M",NA,"Yes",9,0,"-1227.1754565",-1226.819743,-1226.852905,-1226.853823,-1226.725488,-1226.759318,-1226.760077,259.152,10.69,281.767,95.463,198.378,0.393619,-0.649227,187.813666666667,-145.291433333333,0.421880805260363,0.0016279280316585,0.0394649958148141
"poly_dodecyl_methacrylate_total_2M","DNF","Yes",4,0,"-1557.7363151",-1556.926643,NA,NA,-1556.783092,NA,NA,455.147,12.7,597.564,166.093,302.128,0.077973,-0.486172,358.893,-226.980266666667,NA,NA,NA
"poly_n_nonyl_acrylate_total_2M","DNF","Yes",4,0,"-1243.2335108",-1242.634404,NA,NA,-1242.519116,NA,NA,365.372,11.87,447.697,125.782,242.643,0.099974,-0.493355,271.562,-169.640933333333,NA,NA,NA
"poly_n_octyl_methacrylate_total_2M",NA,"Yes",9,0,"-1243.2266021",-1242.627275,-1242.633213,-1242.652395,-1242.512972,-1242.522704,-1242.541492,393.078,12.14,447.217,127.446,240.571,0.080027,-0.48262,269.306666666667,-173.963,8.8153786567455,0.022426537879875,0.726143217194852
"poly_n_propyl_methacrylate_total_2M",NA,"Yes",8,0,"-850.0889463",-849.751731,-849.760967,-849.768714,-849.674979,-849.68474,-849.692409,213.824,10.08,259.176,79.078,161.538,0.098389,-0.513205,158.734666666667,-108.3336,3.56025119663014,0.0166503816065088,0.353199523475213
"poly_p_methyl_styrene_total_2M",NA,"Yes",14,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
