"chemical","error","Stat_Pt","Jobs","imag","HF","Gibbs_Gas","Gibbs_Water","Gibbs_Oct","Enthalpy_Gas","Enthalpy_Water","Enthalpy_Oct","Volume","Radius","Etherm","Cv","S","qp","qm","alpha_avg","quad_avg","log_Kow","kow_vol","kow_rad"
"poly_propylene_oxide_3M_total",NA,"Yes",9,0,"-580.6526242",-580.408223,-580.419615,-580.423903,-580.347422,-580.359149,-580.36367,145.71,8.98,190.925,55.4,127.966,0.3666,-0.627104,108.086333333333,-77.7933666666667,1.97061535188692,0.0135242286177127,0.219444916691194
"poly_sec_butyl_methacrylate_3M_total","DNF","Yes",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"poly_styrene_3M_total",NA,"Yes",8,0,"-930.22497",-929.844004,-929.845919,-929.862984,-929.767604,-929.770672,-929.786425,279.912,10.94,286.409,84.355,160.795,0.121407,-0.239562,233.143666666667,-139.4406,7.84247923977567,0.0280176599780491,0.716862818992292
"poly_tert_butyl_acrylate_3M_total","DNF","Yes",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"poly_vinyl_chloroacetate_3M_total",NA,"Yes",8,0,"-2299.4741532",-2299.243471,-2299.26324,-2299.270587,-2299.155548,-2299.179767,-2299.18548,247.352,10.54,199.336,81.202,185.05,0.162657,-0.596673,167.152666666667,-136.523033333333,3.37642513757376,0.0136502843622601,0.320343940946277
"poly_vinyl_n_decyl_ether_3M_total","DNF","Yes",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"poly_vinyl_n_hexyl_ether_3M_total","DNF","Yes",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"poly_vinyl_n_octyl_ether_3M_total","DNF","Yes",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"poly_vinyl_n_pentyl_ether_3M_total",NA,"Yes",8,0,"-1052.4121819",-1051.851395,-1051.85111,-1051.870567,-1051.747122,-1051.75115,-1051.769735,311.546,11.3,416.739,112.591,219.463,0.103209,-0.488245,240.168,-148.726766666667,8.94175907221288,0.028701248201591,0.79130611258521
"poly_vinyl_trifluoroacetate_3M_total",NA,"Yes",8,0,"-1813.8255077",-1813.644569,-1813.647973,-1813.653935,-1813.547648,-1813.55599,-1813.561977,217.491,10.13,173.767,93.783,203.986,0.126819,-0.507162,143.349,-160.540033333333,2.73992740856583,0.0125978886876507,0.270476545761681
