"chemical","error","Stat_Pt","Jobs","imag","HF","Gibbs_Gas","Gibbs_Water","Gibbs_Oct","Enthalpy_Gas","Enthalpy_Water","Enthalpy_Oct","Volume","Radius","Etherm","Cv","S","qp","qm","alpha_avg","quad_avg","log_Kow","kow_vol","kow_rad"
"poly_1_2_butadiene_1M",NA,"Yes",8,0,"-157.2210717",-157.139548,-157.137278,-157.142207,-157.105864,-157.103611,-157.108524,63.918,7.05,71.701,17.643,70.893,0.144103,-0.371354,42.4397666666667,-26.8835,2.26519661136137,0.0354391034037575,0.321304483881046
"poly_1_butene_1M",NA,"Yes",8,0,"-158.4580452",-158.353213,-158.350102,-158.355966,-158.318513,-158.315397,-158.321264,67.487,7.17,86.966,19.487,73.033,0.060804,-0.248683,44.0899333333333,-28.2548333333333,2.69489002414639,0.0399319872589742,0.375856349253332
"poly_1_hexene_1M",NA,"Yes",8,0,"-237.0854822",-236.928002,-236.924266,-236.932248,-236.886058,-236.882388,-236.890368,93.144,7.87,124.548,29.149,88.278,0.049518,-0.231591,88.9277666666667,-41.6260666666667,3.66824900626242,0.0393825582567038,0.466105337517461
"poly_1_pentene_1M",NA,"Yes",8,0,"-197.7717635",-197.64061,-197.637177,-197.644112,-197.602285,-197.598884,-197.605811,80.001,7.53,105.757,24.317,80.66,0.043778,-0.188415,54.8283,-34.9072,3.18708429697192,0.0398380557364523,0.423251566662937
"poly_2_3_3_3_tetrafluoropropylene_1M",NA,"Yes",8,0,"-516.0944121",-516.051963,-516.051363,-516.056162,-516.012882,-516.012189,-516.016991,67.926,7.18,50.568,23.724,82.252,0.105241,-0.286271,33.5766666666667,-41.0340666666667,2.20545314217197,0.0324684677762855,0.307166175789967
"poly_2_heptyl_acrylate_1M",NA,"Yes",8,0,"-543.595416",-543.349883,-543.352556,-543.361104,-543.288988,-543.292086,-543.30044,163.055,9.29,191.694,53.956,128.164,0.114009,-0.536125,112.679333333333,-73.2905666666667,3.92836287962788,0.0240922564755934,0.422859298130019
"poly_2_octyl_acrylate_1M",NA,"Yes",8,0,"-582.9091342",-582.637222,-582.639375,-582.648641,-582.572736,-582.575529,-582.584933,166.703,9.35,210.501,58.777,135.722,0.105922,-0.528144,123.693,-80.2605,4.25833065549067,0.0255444152504194,0.455436433742317
"poly_3_cyclopentyl_1_propene_1M",NA,"Yes",8,0,"-314.4991821",-314.307714,-314.30469,-314.313655,-314.262225,-314.259089,-314.268165,113.75,8.35,148.1,33.706,95.739,0.043387,-0.233184,82.5957,-53.0815,4.12000154611748,0.0362197938120218,0.493413358816465
"poly_3_methyl_1_butene_1M",NA,"Yes",8,0,"-197.7711306",-197.639907,-197.636346,-197.642929,-197.602088,-197.598565,-197.605133,77.899,7.47,105.484,24.885,79.597,0.086026,-0.367123,54.2886333333333,-34.9205666666667,3.02531736510314,0.0388364082350625,0.404995631205239
"poly_4_cyclohexyl_1_butene_1M",NA,"Yes",8,0,"-393.1316724",-392.88355,-392.880082,-392.890852,-392.834244,-392.83081,-392.841504,141.348,8.9,186.047,42.653,103.775,0.051433,-0.222991,103.721433333333,-66.5964,4.94951663710588,0.0350165310942205,0.556125464843357
"poly_acrylonitrile_1M",NA,"Yes",8,0,"-172.0686667",-172.020545,-172.025452,-172.027823,-171.988247,-171.99321,-171.99559,49.152,6.54,49.872,14.895,67.977,0.044435,-0.439722,33.6626333333333,-30.2361666666667,1.0896289644061,0.0221685580323507,0.166609933395428
"poly_butylene_succinate_1M",NA,"Yes",8,0,"-614.1674487",-613.993189,-614.011208,-614.011681,-613.933048,-613.952722,-613.953087,144.861,8.97,146.496,48.035,126.577,0.393426,-0.645534,95.3815333333333,-74.4737333333333,0.21737431467704,0.00150057168373158,0.0242334798971059
"poly_chloroprene_1M",NA,"Yes",8,0,"-616.8242876",-616.754687,-616.754929,-616.760589,-616.717295,-616.717539,-616.723208,73.563,7.35,66.546,21.613,78.699,0.101666,-0.156928,53.1426,-33.5981666666667,2.60113873409869,0.0353593346396788,0.353896426407985
"poly_dodecyl_methacrylate_1M",NA,"Yes",8,0,"-779.4715594",-779.067271,-779.068164,-779.082244,-778.984743,-778.98604,-779.00047,229.769,10.3,304.889,82.525,173.694,0.085393,-0.497508,178.065666666667,-114.8034,6.4706772748557,0.0281616635614713,0.628221094646184
