"chemical","error","Stat_Pt","Jobs","imag","HF","Gibbs_Gas","Gibbs_Water","Gibbs_Oct","Enthalpy_Gas","Enthalpy_Water","Enthalpy_Oct","Volume","Radius","Etherm","Cv","S","qp","qm","alpha_avg","quad_avg","log_Kow","kow_vol","kow_rad"
"Polyetherimide_1_1M_total",NA,"Yes",8,0,"-1948.6173646",-1948.140317,-1948.168631,-1948.179755,-1948.021139,-1948.052776,-1948.062975,383.728,12.05,373.545,142.094,250.83,0.410213,-0.560995,394.021666666667,-258.470466666667,5.11220269922789,0.0133224646083369,0.424249186657916
"Polyetherimide_2_1M_total",NA,"Yes",8,0,"-2266.7537891",-2266.365072,-2266.394537,-2266.403621,-2266.255178,-2266.286277,-2266.295616,357.367,11.79,312.291,134.658,231.291,0.407753,-0.550738,430.486333333333,-228.241033333333,4.17468979856803,0.0116817999383492,0.354087345086347
"Polyetherimide_3_1M_total",NA,"Yes",8,0,"-1943.7791269",-1943.385889,-1943.414645,-1943.42297,-1943.278398,-1943.309301,-1943.317185,368.796,11.9,313.62,132.95,226.234,0.408834,-0.559832,412.071,-252.890033333333,3.82587985181536,0.0103739732855437,0.321502508555913
"Polyetherimide_4_1M_total",NA,"Yes",8,0,"-1981.9022399",-1981.5018,-1981.537958,-1981.545257,-1981.394338,-1981.430593,-1981.436941,404.96,12.25,318.12,135.432,226.172,0.407884,-0.555388,430.169666666667,-210.685633333333,3.35436601066046,0.00828320330566094,0.273825796788609
"Polyetherimide_5_1M_total",NA,"Yes",8,0,"-1868.5746089",-1868.182116,-1868.211681,-1868.219745,-1868.078614,-1868.109213,-1868.117576,391.569,12.12,310.649,129.256,217.838,0.410146,-0.56733,419.014,-238.2743,3.70593334839484,0.00946431752359058,0.305770078250399
"Polyetherimide_6_1M_total",NA,"Yes",8,0,"-2611.133646",-2610.665127,-2610.696636,-2610.707638,-2610.537666,-2610.571108,-2610.582212,446.419,12.62,373.39,159.589,268.264,0.373507,-0.622293,527.856666666667,-307.487866666667,5.05613575118199,0.011325986911807,0.400644671250554
"Polyetherimide_7_1M_total",NA,"Yes",8,0,"-2611.1300058",-2610.66165,-2610.692962,-2610.704754,-2610.534256,-2610.567422,-2610.578854,459.888,12.74,373.246,159.641,268.124,0.373066,-0.622613,517.431666666667,-318.8101,5.41919221762373,0.0117837217270808,0.425368305935928
"Polyetherimide_8_1M_total",NA,"Yes",8,0,"-2611.1336431",-2610.665437,-2610.697502,-2610.710655,-2610.537671,-2610.571062,-2610.582283,469.73,12.82,373.386,159.593,268.906,0.37323,-0.621254,527.907333333333,-307.9956,6.04466038322725,0.0128683720078071,0.471502369986525
"Polyetherimide_9_1M_total",NA,"Yes",8,0,"-2611.1344777",-2610.665885,-2610.697514,-2610.708981,-2610.538446,-2610.571623,-2610.582762,480.938,12.92,373.423,159.554,268.218,0.372684,-0.615827,537.396333333333,-308.002366666667,5.26983354495063,0.0109574072852439,0.407881853324352
