Iteration	Y	var_1	var_2	var_3	var_4	var_5	var_6	var_7
1.0	80.28221602504135	0.04604780779857308	0.08285056258095311	512.0	5.0	1024.0	7.0	32.0
2.0	61.16034184920045	0.08110497998264878	0.018617179595475458	512.0	1.0	32.0	4.0	256.0
3.0	70.28754964206576	0.07406947748037286	0.028910271971111935	512.0	3.0	256.0	5.0	1024.0
4.0	97.3289463701118	0.026613242674485747	0.09231709714745376	128.0	8.0	1024.0	8.0	256.0
5.0	69.74636620310538	0.07936689577793181	0.08402064046653783	512.0	2.0	1024.0	3.0	128.0
6.0	59.56150137274871	0.0821854920082107	0.015947290943196947	512.0	1.0	32.0	3.0	256.0
7.0	42.65632805172333	0.1	1e-05	512.0	6.0	32.0	1.0	256.0
8.0	42.048437632513	1.0000000000003062e-05	0.1	512.0	9.0	32.0	1.0	256.0
9.0	44.41259229313026	0.1	1e-05	512.0	8.0	32.0	1.0	256.0
10.0	46.0836851837464	1e-05	0.1	512.0	9.0	32.0	5.0	256.0
11.0	85.12059514051627	0.07784111567464379	0.09880503815666705	512.0	8.0	64.0	3.0	256.0
12.0	85.1661047537748	0.07620830220860289	0.09970923988353655	256.0	2.0	1024.0	8.0	64.0
13.0	76.97514431630282	0.051491219558587466	0.07051967156793282	512.0	2.0	128.0	7.0	128.0
14.0	41.28245222897318	1e-05	0.1	512.0	6.0	32.0	3.0	256.0
15.0	51.15150087729294	0.0024124602027260343	0.038784472764778644	64.0	5.0	1024.0	4.0	64.0
16.0	108.41611151645027	0.1	0.1	64.0	9.0	1024.0	9.0	64.0
17.0	37.27638993130316	1e-05	1e-05	64.0	2.0	1024.0	1.0	64.0
18.0	72.29545009062355	0.09896034752318017	0.04602824440740831	64.0	3.0	1024.0	2.0	32.0
19.0	70.35407222071221	0.07397590448596666	0.06717189537268549	128.0	1.0	1024.0	1.0	64.0
20.0	67.9852011460028	0.02765119667225422	0.037603056759365434	64.0	3.0	1024.0	1.0	128.0
21.0	36.312901232625535	1e-05	1e-05	64.0	3.0	1024.0	1.0	64.0
22.0	71.67321346088026	0.0812772027178086	0.017331404953250144	512.0	1.0	256.0	8.0	128.0
23.0	95.4686046767902	0.04142350599433134	0.044310157631177995	64.0	9.0	128.0	9.0	256.0
24.0	75.61758780051686	0.04531999504682411	0.06772108973222013	128.0	4.0	1024.0	4.0	512.0
25.0	80.06005961760187	0.09825825656285112	0.020955583774880254	128.0	1.0	32.0	9.0	256.0
26.0	61.254007742406465	0.03202351435951349	0.08937435881370899	256.0	1.0	128.0	1.0	128.0
27.0	68.1996620122817	0.0923901333070758	0.09271436259420733	256.0	1.0	64.0	1.0	128.0
28.0	75.38472234841943	0.08822058157173009	0.04247413022904306	256.0	4.0	128.0	4.0	64.0
29.0	35.72534936425408	0.0008419571309966449	1e-05	256.0	9.0	128.0	7.0	128.0
30.0	43.07123799178497	0.1	1e-05	256.0	7.0	128.0	9.0	128.0
31.0	44.251154279993415	0.1	1e-05	256.0	9.0	128.0	4.0	128.0
32.0	36.245061349262606	1e-05	0.1	256.0	7.0	128.0	6.0	128.0
33.0	65.17822596258404	0.019247548740402635	0.04630344647700284	64.0	4.0	1024.0	2.0	1024.0
34.0	81.15280191240393	0.08822589696296226	0.056667480969448916	512.0	9.0	512.0	2.0	512.0
35.0	48.757052583540556	0.004067800450163842	0.0859820589294101	256.0	2.0	64.0	2.0	512.0
36.0	90.347027082528	0.07000784530314519	0.08169630555384183	256.0	7.0	64.0	6.0	512.0
37.0	41.6952132580826	1e-05	1e-05	256.0	2.0	128.0	7.0	128.0
38.0	48.250290000569464	0.09290153439979626	0.00013705783331470869	128.0	2.0	64.0	3.0	512.0
39.0	99.66072706691891	0.038904712828433705	0.08745098293179746	128.0	7.0	64.0	7.0	512.0
40.0	43.061084483398474	0.1	1e-05	256.0	5.0	128.0	6.0	128.0
41.0	74.37526702920024	0.06169871120401199	0.0174372593781472	512.0	8.0	128.0	8.0	1024.0
42.0	52.24479309597261	0.003376333563970663	0.033215687618707364	64.0	7.0	512.0	2.0	512.0
43.0	57.74915277976055	0.01349926688634319	0.010977047962467753	64.0	3.0	512.0	8.0	512.0
44.0	57.69406385007348	0.020878741157268146	0.015653991151037824	128.0	4.0	512.0	3.0	512.0
45.0	97.95484224422769	0.06646349145526821	0.03898385873541196	128.0	9.0	512.0	9.0	512.0
46.0	62.52247285404155	0.08397867889547156	0.047188053966116916	256.0	3.0	32.0	1.0	512.0
47.0	75.9070627244619	0.04267403022700357	0.017588404405607636	64.0	5.0	128.0	6.0	512.0
48.0	62.14566591488549	0.08487056056277752	0.002559491767306465	512.0	7.0	64.0	6.0	64.0
49.0	81.36738262665844	0.06418472131756488	0.052634332871849675	512.0	7.0	64.0	6.0	32.0
50.0	60.6297553152991	0.03617658069453095	0.006528280298893148	512.0	9.0	32.0	7.0	64.0
51.0	71.29777339270642	0.022688061185787468	0.038539532885638494	512.0	1.0	32.0	9.0	64.0
52.0	45.0116414825272	1e-05	0.1	512.0	6.0	32.0	9.0	256.0
53.0	88.35541693825098	0.08809299192532626	0.08174542309991875	128.0	5.0	64.0	6.0	64.0
54.0	60.34921065247795	0.014791174560426393	0.03814192868901001	256.0	6.0	128.0	9.0	256.0
55.0	64.68204479549539	0.022437373776470076	0.029775098523884748	256.0	6.0	128.0	1.0	256.0
