Iteration	GP_regression.Mat52.variance	GP_regression.Mat52.lengthscale
1.0	1.0024198436757517	10.296873294585502	1e-06
2.0	1.0024198436757517	10.296873294585502	1e-06
3.0	1.0947173395650422	9.059954381556453	1e-06
4.0	0.987460182232273	10.383257138268144	1e-06
5.0	1.0583871531775806	5.346477924206758	1e-06
6.0	1.071071908757005	5.6287765902177735	1e-06
7.0	0.9934491034390718	5.621609712103067	1e-06
8.0	0.9310336575227152	5.577316273672653	1e-06
9.0	0.8840381812980744	5.4233070703262705	1e-06
10.0	0.894297352273373	5.628949785911298	1e-06
11.0	0.9283772700627944	5.617653181035232	1e-06
12.0	0.975461557274978	5.158806132368005	1e-06
13.0	1.0344702419412322	5.78130580770767	1e-06
14.0	0.9973938313850758	5.613480092423492	1e-06
15.0	0.9687014088749734	5.462442405596701	1e-06
16.0	0.947558679313718	5.327781409910931	1e-06
17.0	0.9382792169687613	5.641494099950561	1e-06
18.0	0.9118630376121846	5.514790371642292	1e-06
19.0	0.893596941229321	5.612611021999727	1e-06
20.0	0.8708863359476591	5.509680694489355	1e-06
21.0	0.8489304168863813	5.434019474743282	1e-06
22.0	0.848363420500352	5.362893242373237	1e-06
23.0	0.838057460347998	5.276180172028858	1e-06
24.0	0.8231936221264433	5.202655991667707	1e-06
25.0	0.8841809794942463	5.417602657174696	1e-06
26.0	0.8761839628803205	5.522647363046114	1e-06
27.0	0.875197667960542	5.597494444123762	1e-06
28.0	0.8668397193482731	5.6066478887846865	1e-06
29.0	0.8569979026507748	5.531511938800492	1e-06
30.0	0.84068910982976	5.501419650251078	1e-06
31.0	0.8575557075290694	5.503994658339564	1e-06
32.0	0.8613447691190725	5.2450562152388835	1e-06
33.0	0.8831047804019196	5.406244959094503	1e-06
34.0	0.8970157229052153	5.405454298524774	1e-06
35.0	0.902177209866717	5.101746073808807	1e-06
36.0	0.9111567185680229	5.089622904471342	1e-06
37.0	0.897310119156813	5.030451254962512	1e-06
38.0	0.903180267778016	5.007234265037714	1e-06
39.0	0.9046771835705611	5.000404616182721	1e-06
40.0	0.9032644690186064	4.954598909920763	1e-06
41.0	0.8991742701102181	4.936765065355556	1e-06
42.0	0.8943020576273849	4.884155207214519	1e-06
43.0	0.8840491808935893	4.841454475103548	1e-06
44.0	0.8803963621996411	4.794577677198298	1e-06
45.0	0.8712732234716714	4.774189967923238	1e-06
46.0	0.8695369421070533	4.734228992775307	1e-06
47.0	0.8637970797639667	4.698919096631362	1e-06
48.0	0.8760933219909224	4.775727460816237	1e-06
49.0	0.8698693228447558	4.792868053183999	1e-06
50.0	0.8686295134875158	4.756411033234313	1e-06
51.0	0.8664915883072771	4.73312587357324	1e-06
