SMILES,Density,Tg,Tm
*CCCCOC(=O)Nc1ccc(Cc2ccc(NC(=O)O*)cc2)cc1,1.453,109.0,236.0
*CCCCOc1ccc(C(=O)OCCOC(=O)c2ccc(O*)cc2)cc1,1.2973,53.0,252.0
*CC(*)OC(C)=O,1.185,32.0,41.25
*CC(*)C(N)=O,1.21,193.0,285.0
*Oc1c(-c2ccccc2)cc(*)cc1-c1ccccc1,1.1915,220.0,482.5
*c1ccc(Oc2cccc(Oc3ccc(N4C(=O)c5ccc(-c6ccc7c(c6)C(=O)N(*)C7=O)cc5C4=O)cc3)c2)cc1,1.3885,234.0,396.0
*CCCCOCO*,1.185,-84.0,27.0
*CCCCCCCCCCCC(=O)N*,1.02,42.0,178.0
*CC(*)CCCCCCCC,0.857,-35.0,34.0
*C(=O)OCCOC(=O)c1ccc(C(=O)OCCOC(=O)N2CCN(*)CC2)cc1,1.32,53.0,220.0
*N=P(*)(Oc1ccc(Cl)cc1)Oc1ccc(Cl)cc1,1.536,4.0,365.0
*N=P(*)(Oc1ccccc1)Oc1ccccc1,1.385,-8.0,390.0
*CCCCCCNC(=O)CCCCCCC(=O)N*,1.143,57.0,234.0
*N=P(*)(Oc1cccc(F)c1)Oc1cccc(F)c1,1.41,-38.0,260.0
*CCCCCCOc1ccc(C(=O)OC(=O)c2ccc(O*)cc2)cc1,1.233,47.0,150.0
*CCCCC(=O)NCc1ccc(CNC(=O)CCCCS*)cc1,1.2005,70.0,242.0
*C(=O)Nc1ccc(Oc2ccc(N3C(=O)c4ccc(*)cc4C3=O)cc2)cc1,1.413,295.0,431.0
*CCCCCCCC(=O)N*,1.079,37.0,197.0
*CC(COCCCC)O*,0.982,-79.0,27.0
*CC(*)C=C,0.901,-7.0,140.7
*Oc1ccc(Oc2ccc(C(=O)c3ccc(*)cc3)cc2)cc1C,1.267,151.0,229.0
*CC(*)(C)C(=O)OCCO,1.285,91.2,106.68
*Cc1ccc(CNC(=O)CCCCCCCCCCCCCC(=O)N*)cc1,1.09,90.0,241.0
*CCCCCNC(=O)CCCCC(=O)N*,1.14,46.5,258.0
*C(=O)NC1CCCC(*)O1,1.26,145.0,295.0
*Oc1ccc(C2(c3ccc(OC(*)=O)c(C)c3)CCCCC2)cc1C,1.202,137.5,232.0
*CCCCCCCCCCOC(=O)CCCCCCCCCCCCCCCCC(=O)O*,1.047,-17.0,92.7
*CCCCCCCCCCNC(=O)CCCCCCCCC(=O)N*,1.0665,60.0,201.0
*CC(*)CC1CCCC1,0.924,60.0,217.5
*CCCP(CCCCCCCC)CCCNC(=O)CCCCC(=O)N*,1.08,12.0,135.0
*Oc1ccc(C(c2ccc(OC(*)=O)cc2)C(C)C)cc1,1.18,149.0,180.0
*CCCCOC(=O)CCC(=O)O*,1.2969,-32.0,113.0
*CC(*)C(=O)OCCCCCCCCCCCCCCCCCC,0.9754,-42.5,50.0
*Oc1ccc(C2(c3ccc(OC(*)=O)c(Cl)c3)CCCCC2)cc1Cl,1.29,179.0,241.0
*CCOCCOC(=O)c1cccc(C(=O)O*)c1,1.3165,16.0,90.0
*CC(*)C(=O)OCCCC,1.074,-49.0,47.0
*CCCCOc1ccc(C(=O)OC(=O)c2ccc(O*)cc2)cc1,1.2835,45.0,204.0
*CCCCCCCCNC(=O)CCCCCCCCC(=O)N*,1.07255,54.0,207.5
*CC(*)CCc1ccccc1,1.045,10.0,159.0
*CCCCCCCCCCN1C(=O)c2ccc(Oc3ccc4c(c3)C(=O)N(*)C4=O)cc2C1=O,1.25,91.5,175.0
*Oc1c(C)cc(*)cc1C,1.061,212.0,258.75
*CC(C)(CCC)C(=O)O*,1.07,1.9,93.0
*c1cc(CCCCCC)c(*)s1,1.125,20.3,217.1
*Oc1ccc(OC(=O)CCCCC(*)=O)cc1,1.287,90.0,232.2
*Cc1ccc(CNC(=O)CCCCCCCCCC(=O)N*)cc1,1.13,110.0,264.0
*OC(*)CCCCCC,0.995,-116.0,130.0
*Nc1ccc(NC(=O)c2cccc(C(*)=O)c2)cc1,1.331,295.0,500.0
*CC(*)OC(C)C,0.93,-7.5,191.0
*CCOC(=O)C1CCC(C(=O)O*)CC1,1.2187,25.0,64.0
*OC(C)CC(*)=O,1.237,3.4,173.6
*CCCCCCCCCCCCCCCCCCNC(=O)CCc1ccc(CCC(=O)N*)cc1,1.034,65.0,232.0
*CC(*)c1ccccc1F,1.29,160.5,270.0
*CCN(*)C(=O)CCCCCC,1.025,10.0,168.0
*Oc1ccc(S(=O)(=O)c2ccc(Oc3ccc(C(C)(C)c4ccc(*)cc4)cc3)cc2)cc1,1.24,186.0,244.0
*CC/C=C(/*)C,1.12,-67.0,35.5
*Oc1ccc(-c2ccc(OC(=O)c3ccc(C(*)=O)cc3)cc2)cc1,1.4,267.0,543.5
*c1cccc(Oc2ccc(-c3ccc(Oc4cccc(-n5c(=O)c6cc7c(=O)n(*)c(=O)c7cc6c5=O)c4)cc3)cc2)c1,1.47,251.0,382.9
*CC(C)(CC)C(=O)O*,1.1,-9.0,134.0
*c1ccc(C(*)C)cc1,1.155,93.0,211.0
*N=P(*)(Oc1ccc(-c2ccccc2)cc1)Oc1ccc(-c2ccccc2)cc1,1.3,85.0,280.3
*CCN(*)C(=O)CCCCC,1.0425,7.0,159.0
*c1ccc(Oc2cccc(N3C(=O)c4ccc(-c5ccc6c(c5)C(=O)N(*)C6=O)cc4C3=O)c2)cc1,1.445,259.0,401.5
*CCOCCOC(=O)CCCCC(=O)O*,1.1918,-51.0,-24.0
*CCc1ccc(*)cc1,1.14,65.0,415.0
*CC(*)CC1CCCCC1,0.926,75.0,230.0
*CC(*)(C)C(=O)OCCCCCCCCCCCCCCCCCC,0.9686,-100.0,38.0
*CCCC1CC(=O)N(*)C(=O)C1,1.3,90.0,281.0
*CC(*)c1ccccn1,1.151,105.0,202.0
*O[Si](*)(C)C,0.97302,-122.8,-40.7
*c1ccc(-c2nc3cc(-c4ccc5nc(-c6ccccc6)c(*)nc5c4)ccc3nc2-c2ccccc2)cc1,1.32,365.0,480.0
*N=P(*)(Oc1ccc(CC)cc1)Oc1ccc(CC)cc1,1.21,-12.5,43.0
*CCCCNC(=O)CCCCC(=O)N*,1.231,58.0,291.0
*CC(CS(C)(=O)=O)O*,1.442,85.0,180.0
*c1ccc(*)cc1,1.33,291.5,325.0
*CC(*)C(C)=O,1.195,115.0,170.0
*Oc1ccc(C(=O)c2ccc(C(=O)c3ccc(*)cc3)cc2)cc1,1.395,157.0,386.0
*CCCCOC(=O)CCCCC(=O)O*,1.13,-66.0,55.6
*C(=O)OCCOC(=O)c1cccc(N2C(=O)c3ccc(*)cc3C2=O)c1,1.259,220.0,340.0
*CCOCCOCCOC(=O)c1ccc(-c2ccc(C(=O)O*)cc2)cc1,1.3,20.0,100.5
*CC(*)Cc1ccccc1,1.051,70.0,235.0
*CCCCCCCCCCOC(=O)CCCCC(=O)O*,1.087,-68.0,77.0
*CCN(*)C(=O)CCCCCCC,1.025,10.0,165.0
*CCCCCCNC(=O)CCCCCCCCC(=O)N*,1.09,45.0,222.0
*CCc1ccc(CCNC(=O)CCCCCCCCCCCCCCCCC(=O)N*)cc1,1.055,75.0,248.0
*CCOC(=O)Nc1ccc(Cc2ccc(NC(=O)O*)cc2)cc1,1.3233,139.0,255.0
*Nc1ccc(Cc2ccc(NC(=O)c3ccc(C(*)=O)cc3)cc2)cc1,1.19,294.5,500.0
*CC(*)CCCCC,0.8354,-45.5,19.0
*CCCCCCCCCCC(=O)N(*)C,1.005,-12.0,80.0
*c1ccc(Oc2ccc(N3C(=O)c4ccc(-c5ccc6c(c5)C(=O)N(*)C6=O)cc4C3=O)cc2)cc1,1.3869,279.0,450.0
*c1cccc(N2C(=O)c3ccc(Oc4ccc(C(C)(C)c5ccc(Oc6ccc7c(c6)C(=O)N(*)C7=O)cc5)cc4)cc3C2=O)c1,1.27,217.5,195.4
*CC(*)c1ccc2ccccc2c1,1.108,146.5,360.0
*CCOC(=O)CCCCCCCC(=O)O*,1.172,-45.0,47.0
*CCCCCCOC(=O)CCCCC(=O)O*,1.222,-69.0,56.5
*Oc1ccc2cc(C(*)=O)ccc2c1,1.43,147.0,555.0
*CCCCCCCCNC(=O)Cc1ccc(CC(=O)N*)cc1,1.152,110.0,280.0
*CCC(*)(C)C,0.8718,-12.0,68.0
*CCCCO*,1.02,-80.0,37.3
*NC(CCC(=O)OCCCCCCCCCC)C(*)=O,1.03,-62.0,-25.4
*NC1CCC(CC2CCC(NC(=O)CCCCCCCCCCC(*)=O)CC2)CC1,1.05,142.0,280.0
*Nc1cccc(NC(=O)c2ccc(C(*)=O)cc2)c1,1.36,238.0,500.0
*CC(*)(C)C(=O)OCCCCCCCCCCCC,0.984,-47.9,-26.0
*c1cc(CCCCCCCCCCCC)c(*)s1,1.05,-18.5,100.0
*CC(*)C1CCCCC1,0.944,119.7,350.0
*CCOC(=O)c1ccc2cc(C(=O)O*)ccc2c1,1.35,120.0,268.1
*CC(*)OCC,0.968,-33.0,86.0
*CCCCCCCCCCCCCCNC(=O)CCc1ccc(CCC(=O)N*)cc1,1.077,85.0,258.0
*CCCCCCNC(=O)CC(=O)N*,1.1785,50.0,248.0
*CCCCCCCC(=O)OC1COC(*)OC1,1.439,6.5,135.0
*CCCCCCCCCCCCCCNC(=O)CCCCCCCCCCCCCCCCC(=O)N*,1.013,48.0,158.0
*Oc1ccc(NC(=O)c2cccc(C(=O)Nc3ccc(*)cc3)c2)cc1,1.26,264.0,425.0
*Oc1ccc(C(*)=O)cc1,1.48,161.0,533.0
*CCCCCCC(=O)N*,1.118,52.0,223.0
*CC(*)CCCCCCC,0.8418,-47.0,20.5
*CCN*,1.14,-48.0,66.0
*c1ccc(OC(=O)c2ccc(C(=O)Oc3ccc(C4(*)OC(=O)c5ccccc54)cc3)cc2)cc1,1.315,279.0,370.0
*CCCC(=O)N*,1.3135,62.8,265.0
*CCCCCCCCCNC(=O)c1ccc(C(=O)N*)cc1,1.154,115.0,371.0
*CCCCCCCCCCCCNC(=O)c1ccc(C(=O)N*)cc1,1.152,130.0,298.5
*CC(*)[Si](C)(C)C,0.89,137.0,340.0
*CCCCCCNC(=O)CCC(C)CC(=O)N*,1.094,17.0,230.0
*CCCCOC(=O)CCCCCCCC(=O)O*,1.1087,-62.5,49.0
*Oc1ccc(C(C)(C)c2ccc(OC(*)=O)c(Cl)c2)cc1Cl,1.295,147.0,214.0
