SMILES,Density,Tg,Tm
*Oc1ccc(C(C)(C)c2ccc(OC(=O)c3ccc(C(*)=O)cc3)cc2)cc1,1.24,201.0,371.0
*Oc1ccc(C(=O)c2ccc(Oc3ccc(C(=O)c4ccc(C(=O)c5ccc(*)cc5)cc4)cc3)cc2)cc1,1.403,169.0,381.5
*CCOC(=O)CCCCC(=O)O*,1.25,-54.5,49.5
*CO*,1.425,-71.0,177.0
*CC(C)S*,1.2,-43.0,53.0
*CC1CCCC(CNC(=O)CCCCC(=O)N*)C1,1.16,107.0,240.0
*C1CC(*)(C#N)C1,1.1,220.0,370.0
*CC1CCC(CNC(=O)CCCCC(=O)N*)CC1,1.137,113.0,343.5
*Oc1cccc(C(=O)c2ccc(*)cc2)c1,1.29,137.0,304.0
*CC(*)Cc1cccc(C)c1,1.039,40.0,180.0
*/C=C/CCC*,0.89,-105.0,-41.0
*CCOCO*,1.41,-64.0,58.0
*CC(*)CC(C)(C)C,0.85,190.0,335.0
*CCCCC(=O)NCc1ccc(CNC(=O)CCCCO*)cc1,1.178,70.0,243.0
*N=P(*)(Oc1ccc(C)cc1)Oc1ccc(C)cc1,1.287,5.0,417.0
*CC(*)C(=O)OCC(C)C,1.05,25.0,81.0
*Oc1ccc(Cc2ccc(OC(*)=O)c(C)c2)cc1C,1.25,51.0,243.0
*CCC(=O)N*,1.36,145.5,340.0
*CCCCCCN1C(=O)c2ccc(Oc3ccc4c(c3)C(=O)N(*)C4=O)cc2C1=O,1.39,164.0,234.0
*CCO*,1.203,-56.0,62.6
*CC(C)(CO)CO*,1.144,62.0,169.0
*CCOC(=O)NCCCCCCNC(=O)O*,1.3,56.0,170.0
*CC(*)CC(C)C,0.832,35.2,232.0
*Oc1ccc(Oc2ccc(C(=O)c3ccc(C(=O)c4ccc(*)cc4)cc3)cc2)cc1,1.327,152.0,365.0
*CC(CCCCCC)O*,0.959,-67.0,86.5
*CCCCCCNC(=O)Cc1ccc(CC(=O)N*)cc1,1.182,95.0,300.0
*CC(F)(F)CC(*)(C(F)(F)F)C(F)(F)F,1.88,132.0,327.0
*CCCCCCCCCCCCCCCCCCNC(=O)CCCCCCCCCCCCCCCCC(=O)N*,0.998,50.0,158.0
*CC(*)C(=O)Oc1ccc(-c2ccccc2)cc1,1.236,110.0,280.0
*NC(CCC(=O)OCc1ccccc1)C(*)=O,1.272,17.0,302.39
*CCCCOC(=O)c1cccc(C(=O)O*)c1,1.309,19.0,130.0
*Oc1ccc(C(c2ccccc2)(c2ccccc2)c2ccc(OC(*)=O)cc2)cc1,1.27,213.0,245.0
*CC(*)C1CCC(C)CC1,0.9249,132.0,250.0
*CC(*)CCC,0.9,-37.0,80.0
*C(=O)OCCOC(=O)N1CCN(*)CC1,1.35,60.0,244.0
*Oc1ccc(OC(=O)c2cc(OCCCCCCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc(C(*)=O)c2)cc1,1.525,137.0,48.0
*CC(COc1ccccc1)O*,1.272,42.0,208.0
*CCOC(=O)c1ccccc1C(=O)O*,1.37925,96.5,104.0
*CC(C)(C)C(=O)O*,1.21,-12.0,234.0
*/C=C/C1CCC(*)C1,1.3,31.0,202.0
*CCCCOC(=O)c1ccc(C(=O)O*)cc1,1.2938,48.4,224.1
*Oc1ccc(C(c2ccccc2)c2ccc(OC(*)=O)cc2)cc1,1.24,170.0,230.0
*c1ccc(Oc2ccc(N3C(=O)c4ccc(Oc5ccc6c(c5)C(=O)N(*)C6=O)cc4C3=O)cc2)cc1,1.38,265.0,427.0
*CC(*)(C)OC,1.0355,67.0,100.0
*Oc1cccc(OC(=O)c2cccc(C(*)=O)c2)c1,1.34,147.0,228.0
*c1[nH]c2ccccc2c1*,0.94,137.0,273.0
*CCCCCCCCCCNC(=O)CCCCCCCCCCC(=O)N*,1.35,49.0,192.0
*Oc1ccc(C(C)(C)c2ccc(OC(*)=O)cc2)cc1,1.2,148.0,230.4
*CCOCCOC(=O)c1ccc(C(=O)O*)cc1,1.5,21.9,82.1
*CC(CO)(CO)CO*,1.28,99.0,295.5
*CCc1ccc(CCNC(=O)CCCCCCCCCCCCC(=O)N*)cc1,1.091,93.0,267.0
*CCCCCCOC(=O)NCCCCCCNC(=O)O*,1.195,168.0,170.5
*CCOC(=O)NCCCCCCCCCNC(=O)O*,1.175,44.0,168.0
*c1ccc(-c2ccc(N3C(=O)c4ccc(-c5ccc6c(c5)C(=O)N(*)C6=O)cc4C3=O)cc2C(F)(F)F)c(C(F)(F)F)c1,1.5,317.5,115.0
*OC1C(COC(C)=O)OC(*)C(OC(C)=O)C1OC(C)=O,1.155,178.0,302.0
*OC(CC(*)=O)C(Cl)(Cl)Cl,1.81,163.5,268.0
*CC(*)(F)F,1.7704,-34.4,170.0
*CC(*)CCCCCC,0.85,-54.0,20.0
*Nc1ccc(NC(=O)c2ccc(C(*)=O)cc2)cc1,1.45,295.0,600.0
*CC(COC)O*,1.095,-62.0,57.0
*CC(*)Cc1ccccc1C,1.031,80.0,290.0
*CC(*)OCCCC,0.9285,-51.0,64.0
*CC(*)C1CCCC1,0.97,75.0,292.0
*Oc1ccc(Sc2ccc(OC(*)=O)cc2)cc1,1.4275,110.0,240.0
*CCCCCCNC(=O)CCCCC(=O)N*,1.1422,58.2,262.0
*CC(*)c1cccc(C)c1,1.0285,75.0,215.0
*CC(*)(C)C(=O)OC(C)(C)C,1.0215,107.0,165.0
*CCCCCCCCCCCCN1C(=O)c2ccc(Oc3ccc4c(c3)C(=O)N(*)C4=O)cc2C1=O,1.23,70.0,160.0
*CCCCCCCCCCC(=O)NCCc1ccc(CCNC(=O)CCCCCCCCCCS*)cc1,1.067,58.0,207.0
*Oc1ccc(OC(=O)c2ccc(C(*)=O)cc2)cc1,1.39,267.0,533.5
*CCC(*)=O,1.3,15.0,255.0
*CCCCCCCCNC(=O)CCCCCCCCCCC(=O)N*,1.062,50.0,201.0
*C(*)(F)F,2.171,120.0,329.0
*CC(C)(CC)CO*,0.966,-47.0,45.0
*CCCOC(=O)NCCCCCCNC(=O)O*,1.265,55.0,168.0
*Cc1ccc(CNC(=O)CCCCCCCCC(=O)N*)cc1,1.1605,115.0,295.5
*Cc1ccc(CNC(=O)CCCCCCCCCCCCCCCCC(=O)N*)cc1,1.075,75.0,242.0
*c1ccc(Oc2ccc(Oc3ccc(N4C(=O)c5ccc(Oc6ccc7c(c6)C(=O)N(*)C7=O)cc5C4=O)cc3)cc2)cc1,1.4175,238.0,421.0
*CC(CO*)(CS(C)(=O)=O)CS(C)(=O)=O,1.48,126.0,191.0
*CCN(*)C(=O)CC(C)C,1.07,30.0,205.0
*/C=C/CCCCCCCCCC*,0.995,-53.0,73.0
*CC(*)c1ccc(Cl)cc1,1.2175,124.0,232.0
*CCCCCNC(=O)CC(=O)N*,1.233,65.0,248.0
*CCN(C)C(=O)CCCCCCCCC(=O)N(*)C,1.278,0.0,75.0
*NC(C)CC(*)=O,1.2285,125.0,335.0
*CC/C=C(/*)Cl,1.2585,-20.0,70.0
*Oc1ccc(C(CCC)c2ccc(OC(*)=O)cc2)cc1,1.17,123.0,170.0
*CC(*)(C)C(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1.7427,47.0,88.0
*CC(CS(=O)(=O)CCCCC)O*,1.249,39.0,129.0
*CCCCCCCCCCOc1ccc(/N=C/c2ccc(/C=N/c3ccc(O*)cc3C)cc2)c(C)c1,1.144,77.6,95.0
*CCCCCOCO*,1.14,-80.0,37.5
*OC(C)COC(*)=O,1.26,34.6,103.03
*CC(*)n1c2ccccc2c2ccccc21,1.18915,225.0,335.5
*CCOC(=O)Nc1ccc(CCc2ccc(NC(=O)O*)cc2)cc1,1.3055,116.9,312.0
*/C=C/CCCCCC*,1.0,-78.0,38.0
*CCc1ccc(CCNC(=O)CCCCCCCCCC(=O)N*)cc1,1.108,96.0,275.0
*CCCCCCOC(=O)c1ccc(C(=O)O*)cc1,1.262,13.0,154.0
*CCCCCCNC(=O)c1ccc(C2(C)CC(C)(C)c3ccc(C(=O)N*)cc32)cc1,1.121,190.0,221.0
*CCCCCCOC(=O)NCCCCNC(=O)O*,1.2355,16.0,195.0
*CC(*)c1ccc(F)cc1,1.2,95.0,265.0
*C(F)(F)C(*)(F)C(F)(F)F,2.005,158.5,155.0
*OC(*)CCC,1.0,-41.0,225.0
*CCOC(=O)c1cccc(C(=O)O*)c1,1.3596,58.0,141.0
*CCOC(=O)c1ccc2ccc(C(=O)O*)cc2c1,1.35,119.0,270.0
*OC1CCCCC1*,1.067,68.5,82.0
*CCCCCCCCC(=O)N*,1.066,48.0,209.0
*CC(*)(F)C(=O)OCC(F)(F)C(F)(F)F,1.654,99.0,220.0
*O[Si](*)(C)CCCOc1ccc(C(=O)OC2CCC3(C)C(=CCC4C3CCC3(C)C(C(C)CCCC(C)C)CCC43)C2)cc1,1.24,61.1,110.1
*CC(CC)(CC)CO*,1.04,-30.0,81.5
*NC1CCC(CC2CCC(NC(=O)CCCCCCCCCCCCC(*)=O)CC2)CC1,0.917,131.0,246.0
*CCCCCCOC(=O)Nc1ccc(Cc2ccc(NC(=O)O*)cc2)cc1,1.423,71.0,200.0
*CC(=O)C(*)c1ccccc1,1.27,110.0,290.0
*CCCCCCCCCCCCNC(=O)CCc1ccc(CCC(=O)N*)cc1,1.08,85.0,263.0
*CC(*)c1ccccc1C,1.032,131.0,360.0
*CC(=O)O*,1.563,45.0,219.0
