"chemical","error","Stat_Pt","Jobs","imag","HF","Gibbs_Gas","Gibbs_Water","Gibbs_Oct","Enthalpy_Gas","Enthalpy_Water","Enthalpy_Oct","Volume","Radius","Etherm","Cv","S","qp","qm","alpha_avg","quad_avg","log_Kow","kow_vol","kow_rad"
"poly_MDI_BD_1M",NA,"Yes",8,0,"-1147.6951109",-1147.368177,-1147.397093,-1147.400659,-1147.281458,-1147.311891,-1147.315434,271.588,10.84,258.979,89.995,182.516,0.388523,-0.723301,235.931,-167.1347,1.63880931543932,0.00603417424716599,0.151181671165989
"poly_MDI_EG_1M",NA,"Yes",8,0,"-1069.0687344",-1068.794249,-1068.821902,-1068.82319,-1068.71516,-1068.743678,-1068.745663,227.256,10.27,221.279,80.101,166.459,0.363286,-0.719256,212.453333333333,-152.871166666667,0.591919909878373,0.00260463930491768,0.057635823746677
